Aktie,WKN,Index,Branche,RK,
Adidas *,A1EWWW,DAX,Konsumgüter,3,
Allianz SE *,840400,DAX,Finanzsektor,3,
BASF SE *,BASF11,DAX,Chemie / Pharma / Gesundheit,3,
Bayer AG *,BAY001,DAX,Chemie / Pharma / Gesundheit,3,
Beiersdorf AG,520000,DAX,Konsumgüter,3,
BMW AG St,519000,DAX,Kraftfahrzeugindustie,3,
Continental AG,543900,DAX,Kraftfahrzeugindustie,3,
Covestro,606214,DAX,Kunststoffe,4,
Daimler AG *,710000,DAX,Kraftfahrzeugindustrie,3,
Deutsche Bank AG *,514000,DAX,Finanzsektor,3,
Deutsche Börse AG *,581005,DAX,Finanzsektor,3,
Deutsche Lufthansa AG *,823212,DAX,Transport / Verkehrssektor,3,
Deutsche Post AG *,555200,DAX,Transport / Verkehrssektor,3,
Deutsche Telekom AG *,555750,DAX,Telekomunikation,3,
E.ON AG NA *,ENAG99,DAX,Versorger,3,
Fresenius Medical Care AG & Co. KGaA St,578580,DAX,Chemie / Pharma / Gesundheit,3,
Fresenius SE & Co. KGaA,578560,DAX,Chemie / Pharma / Gesundheit,3,
HeidelbergCement AG,604700,DAX,Industrie,3,
Henkel AG & Co. KGaA Vz,604843,DAX,Chemie / Pharma / Gesundheit,3,
Infineon Technologies AG *,623100,DAX,Technologie,3,
Linde PLC,A2DSYC,DAX,Chemie,3,
Merck KGaA,659990,DAX,Chemie / Pharma / Gesundheit,3,
MTU Aero Engines*,A0D9PT,DAX,Raumfahrtindustrie,4,
Münchener Rück AG *,843002,DAX,Finanzsektor,3,
RWE AG St,703712,DAX,Versorger,3,
SAP AG,716460,DAX,Software,3,
Siemens AG *,723610,DAX,Technologie,3,
Volkswagen AG Vz,766403,DAX,Kraftfahrzeugindustrie,3,
Vonovia *,A1ML7J,DAX,Immobilien,3,
Wirecard,747206,DAX,Internetkommerz,3,
Activision Blizzard,A0Q4K4,NASDAQ-100,Standardsoftware,5,
Adobe Systems,871981,NASDAQ-100,Standardsoftware,4,
Alexion Pharmaceuticals,899527,NASDAQ-100,Biotechnologie,4,
Align Technology,590375,NASDAQ-100,Medizinische Geräte,5,
Alphabet Inc,A14Y6H,NASDAQ-100,Internetkommerz,4,
Alphabet Inc. A,A14Y6F,NASDAQ-100,Internetkommerz,4,
Amazon,906866,NASDAQ-100,Internetkommerz,4,
American Airlines Group,A1W97M,NASDAQ-100,Fluggesellschaften,5,
AMD Advanced Micor Devices,863186,NASDAQ-100,Halbleiterindustrie,5,
Amgen,867900,NASDAQ-100,Medizinische Geräte,4,
Analog Devices,862485,NASDAQ-100,Halbleiterindustrie,4,
Apple,865985,NASDAQ-100,Computer-Hardware,4,
Applied Materials,865177,NASDAQ-100,Halbleiterindustrie,4,
ASML Holding,A1J85V,NASDAQ-100,Halbleiterindustrie,5,
Autodesk,869964,NASDAQ-100,Standardsoftware,4,
Automatic Data Processing,850347,NASDAQ-100,Netzwerktechnik und -systeme,4,
Baiducom,A0F5DE,NASDAQ-100,Internetservice,5,
Biogen,789617,NASDAQ-100,Biotechnologie,4,
Booking Holdings Inc.,A2JEXP,NASDAQ-100,Touristik und Freizeit,5,
Biomarin Pharmaceutical,924801,NASDAQ-100,Pharma,5,
Broadcom 1,A2JG9Z,NASDAQ-100,Elektrotechnologie,5,
Cadence Design,873567,NASDAQ-100,Standardsoftware,5,
Celgene,881244,NASDAQ-100,Biotechnologie,4,
Cerner,892807,NASDAQ-100,Spezialsoftware,4,
Charter Communications,A2AJX9,NASDAQ-100,Telekommunikationsausrüster,5,
Check Point Software Technologies,901638,NASDAQ-100,Standardsoftware,4,
Cintas,880205,NASDAQ-100,Bekleidungsartikel,4,
Cisco Systems,878841,NASDAQ-100,Netzwerktechnik und -systeme,4,
Citrix Systems,898407,NASDAQ-100,Standardsoftware,4,
Cognizant Technology Solutions,915272,NASDAQ-100,Softwareservice / -dienstleistung,4,
Comcast,157484,NASDAQ-100,Telekommunikationsausrüster,4,
Costco Wholesale,888351,NASDAQ-100,Einzelhandel,4,
CSX,865857,NASDAQ-100,Eisenbahn und Straße,4,
Ctripcom International,A0BK6U,NASDAQ-100,Touristik und Freizeit,5,
Dollar Tree,A0NFQC,NASDAQ-100,Kaufhäuser,4,
